"EID","ContributorName","CatCodeIndustry","CatCodeGroup","CatCodeBusiness","PerDem","PerRep","DemCol","RepCol","Total"
10041,"ANTHEM INC","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",6,94,"#E00000AF","#E00000AF",25000
1025,"FORD MOTOR CO","Automotive","Transportation","Auto manufacturers",14.2857142857143,85.7142857142857,"#B80000AF","#B80000AF",10500
1039,"NEXTERA ENERGY","Miscellaneous Energy","Energy & Natural Resources","Alternative energy production & services",1.88679245283019,98.1132075471698,"#FA0000AF","#FA0000AF",26500
1055,"FROST BROWN & TODD","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",0,100,"#FF0000AF","#FF0000AF",4350
10680063,"STATE AUTO INSURANCE COMPANIES","Insurance","Finance, Insurance & Real Estate","Property & casualty insurance",0,100,"#FF0000AF","#FF0000AF",8433.31
10688628,"ALKERMES INC","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",3.125,96.875,"#F00000AF","#F00000AF",11200
10701104,"STRATEGIC PUBLIC PARTNERS","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",1500
10770271,"OHIO TELEPHONE","Uncoded","Uncoded","Uncoded",21.6666666666667,78.3333333333333,"#940000AF","#940000AF",3000
10770383,"OHIO POLICE & FIRE PENSION FUND","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",1050
10812576,"DIRECT ENERGY","Miscellaneous Energy","Energy & Natural Resources","Energy production & distribution",0,100,"#FF0000AF","#FF0000AF",2250
1084,"GENERAL ELECTRIC","Miscellaneous Finance, Insurance & Real Estate","Finance, Insurance & Real Estate","Finance, insurance & real estate",19.3548387096774,80.6451612903226,"#9E0000AF","#9E0000AF",15500
1087,"GENERAL MOTORS","Automotive","Transportation","Auto manufacturers",21.8934911242604,78.1065088757396,"#940000AF","#940000AF",25350
10986,"OHIO RESTAURANT ASSOCIATION","Food & Beverage","General Business","Restaurants & drinking establishments",0,100,"#FF0000AF","#FF0000AF",8340
11035104,"OHIO STATE ASSOCIATION OF PLUMBERS","General Trade Unions","Labor","Construction unions",17.1597941016952,82.8402058983048,"#A80000AF","#A80000AF",146064.34
1116,"GLAXOSMITHKLINE","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",0,100,"#FF0000AF","#FF0000AF",1000
1137,"GRANGE MUTUAL CASUALTY","Insurance","Finance, Insurance & Real Estate","Property & casualty insurance",0,100,"#FF0000AF","#FF0000AF",8500
115571,"CARESOURCE MANAGEMENT SERVICES","Insurance","Finance, Insurance & Real Estate","Property & casualty insurance",6.25,93.75,"#E00000AF","#E00000AF",16000
11567,"DAYTON POWER & LIGHT","Electric Utilities","Energy & Natural Resources","Electric power utilities",0,100,"#FF0000AF","#FF0000AF",32435
11852,"EATON CORPORATION PUBLIC POLICY ASSOCIATION","Miscellaneous Manufacturing & Distributing","General Business","Manufacturing",0,100,"#FF0000AF","#FF0000AF",2250
119,"AMERICAN COLLEGE OF EMERGENCY PHYSICIANS","Health Professionals","Health","Other physician specialists",0,100,"#FF0000AF","#FF0000AF",5900
11939,"ENERGY TRANSFER PARTNERS","Oil & Gas","Energy & Natural Resources","Oilfield service, equipment & exploration",0,100,"#FF0000AF","#FF0000AF",1500
11953976,"EDP RENEWABLES NORTH AMERICA","Miscellaneous Energy","Energy & Natural Resources","Alternative energy production & services",0,100,"#FF0000AF","#FF0000AF",1950
11989,"ERIE INDEMNITY CO","Insurance","Finance, Insurance & Real Estate","Property & casualty insurance",11.4942528735632,88.5057471264368,"#C70000AF","#C70000AF",4350
12065069,"OHIO STATE FARM AGENTS & ASSOCIATES","Insurance","Finance, Insurance & Real Estate","Property & casualty insurance",0,100,"#FF0000AF","#FF0000AF",25000
12096755,"OHIO IRONWORKERS ASSOCIATION","General Trade Unions","Labor","Construction unions",16.6666666666667,83.3333333333333,"#AD0000AF","#AD0000AF",27000
12096787,"HICKS PARTNERS LLC","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",66.6666666666667,33.3333333333333,"#000052AF","#000052AF",2100
12096981,"HEAT & FROST INSULATORS LOCAL 50","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",1000
12100803,"OHIO NURSERY & LANDSCAPE ASSOCIATION","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",1500
12102607,"OHIO PROSECUTING ATTORNEYS PAC (OPAPAC)","Uncoded","Uncoded","Uncoded",6.75675675675676,93.2432432432432,"#E00000AF","#E00000AF",3700
12525,"GOPAC","Conservative Policy Organization","Ideology/Single Issue","Republican-based groups (but not official party committees) and generic conservative ones",0,100,"#FF0000AF","#FF0000AF",19775.95
1269570,"INTERNATIONAL UNION OF PAINTERS & ALLIED TRADES / IUPAT","General Trade Unions","Labor","Construction unions",51.5151515151515,48.4848484848485,"#000005AF","#000005AF",33000
1277,"HUMANA","Health Services","Health","HMOs",19.2307692307692,80.7692307692308,"#9E0000AF","#9E0000AF",13000
130,"AMERICAN ELECTRIC POWER","Electric Utilities","Energy & Natural Resources","Electric power utilities",14.9732620320856,85.0267379679144,"#B80000AF","#B80000AF",93500
13035,"IBERDROLA RENEWABLES","Miscellaneous Energy","Energy & Natural Resources","Alternative energy production & services",16,84,"#AD0000AF","#AD0000AF",1250
1338,"INTERNATIONAL PAPER","Forestry & Forest Products","Agriculture","Paper & pulp mills and paper manufacturing",0,100,"#FF0000AF","#FF0000AF",3500
13389,"KEGLER BROWN HILL & RITTER","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",11.5384615384615,88.4615384615385,"#C70000AF","#C70000AF",23400
13897,"MANAGEMENT & TRAINING CORP","Miscellaneous Business","General Business","Correctional facilities construction & management/for-profit",0,100,"#FF0000AF","#FF0000AF",4500
14,"ABBOTT LABORATORIES","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",0,100,"#FF0000AF","#FF0000AF",16750
14043850,"IC PAC","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",1900
14044080,"OHIO CONCRETE","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",3500
14089,"MEDICAL MUTUAL OF OHIO","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",0,100,"#FF0000AF","#FF0000AF",7000
1433,"KEYCORP","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",3.15126050420168,96.8487394957983,"#F00000AF","#F00000AF",23800
14341,"MOTORISTS MUTUAL INSURANCE CO","Insurance","Finance, Insurance & Real Estate","Property & casualty insurance",0,100,"#FF0000AF","#FF0000AF",4350
14425,"NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION","Electric Utilities","Energy & Natural Resources","Rural electric cooperatives",1.70735871606625,98.2926412839338,"#FA0000AF","#FA0000AF",29285
14644,"NORTHWEST OHIO BUILDING & CONSTRUCTION TRADES COUNCIL","General Trade Unions","Labor","Construction unions",0,100,"#FF0000AF","#FF0000AF",33850
14687,"OHIO AGGREGATES & INDUSTRIAL MINERALS ASSOCIATION","Electric Utilities","Energy & Natural Resources","Gas & electric utilities",22.3684210526316,77.6315789473684,"#8F0000AF","#8F0000AF",3800
14690,"OHIO ASSOCIATION OF HEALTH UNDERWRITERS","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",0,100,"#FF0000AF","#FF0000AF",5740
14692,"OHIO BANKERS ASSOCIATION","Commercial Banks","Finance, Insurance & Real Estate","Commercial banks & bank holding companies",6.59340659340659,93.4065934065934,"#E00000AF","#E00000AF",45500
14693,"OHIO COIN MACHINE ASSOCIATION","Retail Sales","General Business","Vending machine sales & services",0,100,"#FF0000AF","#FF0000AF",15750
14694,"OHIO COUNCIL FOR HOME CARE","Health Services","Health","Health care services",63.1578947368421,36.8421052631579,"#000042AF","#000042AF",950
14695,"OHIO COUNCIL OF RETAIL MERCHANTS","Retail Sales","General Business","Retail trade",0,100,"#FF0000AF","#FF0000AF",15400
14699,"OHIO GROCERS ASSOCIATION","Food Processing & Sales","Agriculture","Food stores",0,100,"#FF0000AF","#FF0000AF",5650
14700,"OHIO HARNESS HORSEMEN ASSOCIATION","Gambling & Casinos","General Business","Casinos, racetracks & gambling",0,100,"#FF0000AF","#FF0000AF",5300
14701,"OHIO INSURANCE INSTITUTE","Insurance","Finance, Insurance & Real Estate","Property & casualty insurance",18.5,81.5,"#A30000AF","#A30000AF",10000
14705,"OHIO OPHTHALMOLOGICAL SOCIETY","Health Professionals","Health","Optometrists & ophthalmologists",0,100,"#FF0000AF","#FF0000AF",10800
14711,"OHIO SOCIETY OF ANESTHESIOLOGISTS","Health Professionals","Health","Other physician specialists",0,100,"#FF0000AF","#FF0000AF",13000
14712,"OHIO STATE CHIROPRACTIC ASSOCIATION","Health Professionals","Health","Chiropractors",0,100,"#FF0000AF","#FF0000AF",5650
14714,"OHIO TRUCKING ASSOCIATION","Trucking","Transportation","Trucking companies & services",7.17821782178218,92.8217821782178,"#DB0000AF","#DB0000AF",20200
14715,"OHIOHEALTH STAR CORP","Hospitals & Nursing Homes","Health","Health care institutions",25,75,"#800000AF","#800000AF",2000
14953,"SQUIRE PATTON BOGGS","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",0,100,"#FF0000AF","#FF0000AF",13500
15158,"POLICE & FIRE RETIREES OF OHIO","Public Sector Unions","Labor","Police & fire fighters unions and associations",28.5714285714286,71.4285714285714,"#700000AF","#700000AF",2450
15202,"PREMIER HEALTH CARE SERVICES","Health Services","Health","Health care services",0,100,"#FF0000AF","#FF0000AF",14500
15237,"PROFESSIONAL INDEPENDENT AGENTS ASSOCIATION OF OHIO","Insurance","Finance, Insurance & Real Estate","Insurance agencies, brokers & agents",0,100,"#FF0000AF","#FF0000AF",9150
1540,"LIBERTY MUTUAL INSURANCE","Insurance","Finance, Insurance & Real Estate","Property & casualty insurance",0,100,"#FF0000AF","#FF0000AF",10500
15479,"RESCARE INC","Health Services","Health","Health care services",0,100,"#FF0000AF","#FF0000AF",2950
15795074,"OHIO PODIATRIC MEDICAL ASSOCIATION","Health Professionals","Health","Other physician specialists",0,100,"#FF0000AF","#FF0000AF",9650
15797525,"OHIO VETERINARY MEDICAL ASSOCIATION-VETERINARY","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",3750
15833,"SCOTTS MIRACLE-GRO CO","Agricultural Services & Products","Agriculture","Agricultural chemicals (fertilizers & pesticides)",16.6666666666667,83.3333333333333,"#AD0000AF","#AD0000AF",3000
16059533,"CCG PAC","Uncoded","Uncoded","Uncoded",38.4615384615385,61.5384615384615,"#3D0000AF","#3D0000AF",26000
16060713,"NORTHEAST OHIO ACADEMY OF CHIROPRACTIC","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",1500
16061761,"ORGANIZATION FOR HEALTHCARE INNOVATION IN OHIO","Health & Welfare Policy","Ideology/Single Issue","Health & welfare policy",58.5798816568047,41.4201183431953,"#000029AF","#000029AF",8450
16062210,"EVERPOWER WIND HOLDING INC","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",750
16107,"SPECTRA ENERGY","Oil & Gas","Energy & Natural Resources","Natural gas transmission & distribution",22.5913621262458,77.4086378737541,"#8F0000AF","#8F0000AF",15050
1625,"MARATHON OIL","Oil & Gas","Energy & Natural Resources","Major (multinational) oil & gas producers",8.69565217391304,91.304347826087,"#D60000AF","#D60000AF",46000
1625986,"SQUIRE SANDERS","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",0,100,"#FF0000AF","#FF0000AF",1000
16260,"THE SUCCESS GROUP LLC","Lawyers & Lobbyists","Lawyers & Lobbyists","Lobbyists & public relations",41.6666666666667,58.3333333333333,"#2E0000AF","#2E0000AF",4200
16354955,"OHIO ASSOCIATION OF HEALTH PLANS","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",4850
16550,"THOMPSON HINE & FLORY","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",57.1428571428571,42.8571428571429,"#000024AF","#000024AF",1750
1675,"MCKESSON CORP","Health Services","Health","Health care services",0,100,"#FF0000AF","#FF0000AF",5750
169212,"MCDONALD HOPKINS LLC","Lawyers & Lobbyists","Lawyers & Lobbyists","Attorneys & law firms",1.07296137339056,98.9270386266094,"#FA0000AF","#FA0000AF",23300
1702,"MERCK & CO","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",4.53333333333333,95.4666666666667,"#EB0000AF","#EB0000AF",18750
17056,"WELLPOINT INC","Insurance","Finance, Insurance & Real Estate","Accident & health insurance",2.9535864978903,97.0464135021097,"#F50000AF","#F50000AF",11850
1725,"MICROSOFT","Computer Equipment & Services","Communications & Electronics","Computer software",0,100,"#FF0000AF","#FF0000AF",3500
17313,"OHIO CHAMBER OF COMMERCE","Business Associations","General Business","Chambers of commerce",0,100,"#FF0000AF","#FF0000AF",6200
17321,"NATIONAL CONSTRUCTION EMPLOYERS ASSOCIATION","General Contractors","Construction","Builders associations",0,100,"#FF0000AF","#FF0000AF",1950
1753,"MOLINA HEALTHCARE","Health Services","Health","HMOs",9.66183574879227,90.3381642512077,"#D10000AF","#D10000AF",10350
1758,"MONSANTO","Agricultural Services & Products","Agriculture","Agricultural services & related industries",15.3846153846154,84.6153846153846,"#B30000AF","#B30000AF",3250
17909809,"PUBLIC POLICY STRATEGIES LLC","Uncoded","Uncoded","Uncoded",51.7241379310345,48.2758620689655,"#000005AF","#000005AF",1450
1854,"NATIONAL RIFLE ASSOCIATION","Gun Control","Ideology/Single Issue","Anti-gun control",0,100,"#FF0000AF","#FF0000AF",1500
18589,"ASSOCIATED GENERAL CONTRACTORS OF OHIO","General Contractors","Construction","Builders associations",0,100,"#FF0000AF","#FF0000AF",7850
1864,"NATIONWIDE MUTUAL INSURANCE CO","Miscellaneous Finance, Insurance & Real Estate","Finance, Insurance & Real Estate","Finance, insurance & real estate",12.3839009287926,87.6160990712074,"#C20000AF","#C20000AF",48450
18706,"OHIO RURAL ELECTRIC COOPERATIVES","Electric Utilities","Energy & Natural Resources","Rural electric cooperatives",51.1111111111111,48.8888888888889,"#000005AF","#000005AF",6750
18826,"PLANNED PARENTHOOD OF OHIO","Health Services","Health","Health care services",100,0,"#0000FFAF","#0000FFAF",2250
18895,"OHIO HEALTH CARE ASSOCIATION / OHIO CENTERS FOR ASSISTED LIVING","Hospitals & Nursing Homes","Health","Nursing homes",0,100,"#FF0000AF","#FF0000AF",79900
18905940,"OHIO CAST METALS ASSOCIATION","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",1475
18905942,"OHIO VETERINARY MEDICAL ASSOCIATION","Uncoded","Uncoded","Uncoded",66.6666666666667,33.3333333333333,"#000052AF","#000052AF",1500
1892,"NISOURCE INC","Electric Utilities","Energy & Natural Resources","Gas & electric utilities",11.1688311688312,88.8311688311688,"#C70000AF","#C70000AF",77000
18920997,"OHIO ASSOCIATION OF COUNTY BOARDS SERVING PEOPLE WITH DEVELOPMENTAL DISABILITIES (OACB-DD-PAC)","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",5900
18921068,"COMMUNITY BANKERS ASSOCIATION OF OHIO","Uncoded","Uncoded","Uncoded",41.6666666666667,58.3333333333333,"#2E0000AF","#2E0000AF",1200
18928112,"OHIO CATTLEMEN'S ASSOCIATION","Uncoded","Uncoded","Uncoded",20,80,"#990000AF","#9E0000AF",3000
18928241,"OHIO POULTRY ASSOCIATION","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",2100
18928294,"RENAISSANCE HEALTH SERVICE CORPORATION","Uncoded","Uncoded","Uncoded",10,90,"#CC0000AF","#D10000AF",3000
18929296,"EDF RENEWABLE ENERGY","Uncoded","Uncoded","Uncoded",0,100,"#FF0000AF","#FF0000AF",950
19021,"AXCESS FINANCIAL SERVICES","Payday/Title Loans","Finance, Insurance & Real Estate","Payday/Title Loans",0,100,"#FF0000AF","#FF0000AF",9500
19070,"ASSOCIATION OF OHIO LIFE INSURANCE COMPANIES","Insurance","Finance, Insurance & Real Estate","Life insurance",29.1666666666667,70.8333333333333,"#6B0000AF","#6B0000AF",1200
19166,"OHIO ASSOCIATION OF PUBLIC SCHOOL EMPLOYEES","Public Sector Unions","Labor","State & local government employee unions",100,0,"#0000FFAF","#0000FFAF",38155
19168,"OHIO CIVIL SERVICE EMPLOYEES LOCAL 11","Public Sector Unions","Labor","State & local government employee unions",86.4864864864865,13.5135135135135,"#0000B8AF","#0000B8AF",18500
19239,"OHIO FEDERATION OF TEACHERS","Public Sector Unions","Labor","Teachers unions",82.6086956521739,17.3913043478261,"#0000A3AF","#0000A3AF",28750
19290,"COLUMBUS CENTRAL OHIO BUILDING & CONSTRUCTION TRADES COUNCIL","General Trade Unions","Labor","Construction unions",66.6666666666667,33.3333333333333,"#000052AF","#000052AF",750
193,"AMERISOURCEBERGEN CORP","Pharmaceuticals & Health Products","Health","Pharmaceutical wholesale",0,100,"#FF0000AF","#FF0000AF",7900
1934,"OHIO NATIONAL FINANCIAL SERVICES","Insurance","Finance, Insurance & Real Estate","Insurance companies, general",0,100,"#FF0000AF","#FF0000AF",6000
19352,"OHIO STATE FRATERNAL ORDER OF POLICE","Public Sector Unions","Labor","Police & fire fighters unions and associations",16.6666666666667,83.3333333333333,"#AD0000AF","#AD0000AF",3000
19362,"GREATER CINCINNATI BUILDING & CONSTRUCTION TRADES COUNCIL","General Trade Unions","Labor","Construction unions",0,100,"#FF0000AF","#FF0000AF",4000
19391,"IRONWORKERS LOCAL 172","General Trade Unions","Labor","Construction unions",2.29885057471264,97.7011494252874,"#F50000AF","#F50000AF",8700
19445115,"AK STEEL CORPORATION","Steel","Energy & Natural Resources","Steel manufacturing",0,100,"#FF0000AF","#FF0000AF",2500
19501,"OHIO ASSOCIATION OF PROFESSIONAL FIRE FIGHTERS","Public Sector Unions","Labor","Police & fire fighters unions and associations",100,0,"#0000FFAF","#0000FFAF",5350
1965,"OWENS-ILLINOIS","Miscellaneous Manufacturing & Distributing","General Business","Glass products",0,100,"#FF0000AF","#FF0000AF",5500
19692,"ELECTRICAL WORKERS LOCAL 683","General Trade Unions","Labor","Electrical workers/IBEW",76.9230769230769,23.0769230769231,"#000085AF","#000085AF",6500
19747,"OHIO CONFERENCE OF TEAMSTERS","Transportation Unions","Labor","Teamsters unions",16.9230769230769,83.0769230769231,"#AD0000AF","#AD0000AF",32500
20002,"LABORERS DISTRICT COUNCIL OF OHIO","General Trade Unions","Labor","Construction unions",12.4423963133641,87.5576036866359,"#C20000AF","#C20000AF",108500
20078,"LABORERS LOCAL 860","General Trade Unions","Labor","Construction unions",90.9090909090909,9.09090909090909,"#0000CCAF","#0000CCAF",2750
2009,"PENN NATIONAL GAMING","Gambling & Casinos","General Business","Casinos, racetracks & gambling",0,100,"#FF0000AF","#FF0000AF",3000
20090,"LIMA BUILDING & CONSTRUCTION TRADES COUNCIL","General Trade Unions","Labor","Construction unions",26.6666666666667,73.3333333333333,"#7A0000AF","#7A0000AF",7500
20161,"OHIO AFL-CIO","General Trade Unions","Labor","Labor unions",91.6666666666667,8.33333333333333,"#0000D1AF","#0000D1AF",12000
20256,"OHIO EDUCATION ASSOCIATION","Public Sector Unions","Labor","Teachers unions",43.6862247895901,56.3137752104099,"#240000AF","#240000AF",89347.02
20295,"PARKERSBURG-MARIETTA BUILDING & CONSTRUCTION TRADES COUNCIL","General Trade Unions","Labor","Construction unions",33.3333333333333,66.6666666666667,"#570000AF","#570000AF",4500
2034,"PFIZER","Pharmaceuticals & Health Products","Health","Pharmaceutical manufacturing",7.44047619047619,92.5595238095238,"#DB0000AF","#DB0000AF",16800
